Date,Alpha Blend â€“ Market Leaders,NIFTY Smallcap 100
2023-11-07,100.00,100.00
2023-11-08,99.32,100.70
2023-11-09,98.39,100.46
2023-11-10,98.45,100.93
2023-11-13,101.82,102.77
2023-11-15,102.60,104.13
2023-11-16,102.68,104.73
2023-11-17,102.31,104.83
2023-11-20,102.00,104.76
2023-11-21,101.86,104.64
2023-11-22,102.35,103.38
2023-11-23,103.79,104.10
2023-11-24,103.63,104.42
2023-11-28,106.00,104.73
2023-11-29,105.92,104.73
2023-11-30,107.33,107.01
2023-12-01,108.23,107.53
2023-12-04,113.26,109.02
2023-12-05,113.77,109.14
2023-12-06,115.63,109.55
2023-12-07,116.74,109.96
2023-12-08,115.69,108.77
2023-12-11,118.56,109.69
2023-12-12,118.39,109.72
2023-12-13,123.13,110.68
2023-12-14,123.00,111.62
2023-12-15,122.85,112.41
2023-12-18,122.08,113.03
2023-12-19,123.44,112.90
2023-12-20,119.04,108.80
2023-12-21,123.75,110.91
2023-12-22,125.99,112.11
2023-12-26,127.42,112.26
2023-12-27,126.48,112.77
2023-12-28,125.63,113.66
2023-12-29,128.57,114.35
2024-01-01,131.21,114.98
2024-01-02,132.84,114.70
2024-01-03,132.17,114.70
2024-01-04,134.51,115.83
2024-01-05,135.07,116.58
2024-01-08,137.07,115.86
2024-01-09,137.58,116.36
2024-01-10,140.46,116.19
2024-01-11,142.65,116.87
2024-01-12,143.64,117.38
2024-01-15,142.58,117.88
2024-01-16,145.56,117.31
2024-01-17,142.95,115.90
2024-01-18,145.32,115.69
2024-01-19,150.03,116.95
2024-01-20,153.31,117.19
2024-01-23,146.11,113.82
2024-01-24,148.45,115.78
2024-01-25,149.19,116.36
2024-01-29,153.66,118.09
2024-01-30,154.13,118.36
2024-01-31,156.72,121.02
2024-02-01,155.04,121.78
2024-02-02,156.89,122.92
2024-02-05,158.92,123.24
2024-02-06,160.26,124.21
2024-02-07,161.39,125.10
2024-02-08,163.86,124.60
2024-02-09,158.64,122.85
2024-02-12,147.18,117.93
2024-02-13,149.69,118.13
2024-02-14,150.51,120.04
2024-02-15,152.11,121.62
2024-02-16,151.77,122.29
2024-02-19,153.17,122.77
2024-02-20,151.76,122.12
2024-02-21,149.44,120.86
2024-02-22,151.41,121.69
2024-02-23,155.04,122.14
2024-02-26,154.59,121.83
2024-02-27,157.15,122.16
2024-02-28,153.61,119.88
2024-02-29,156.78,120.64
2024-03-01,159.11,121.27
2024-03-04,158.74,121.48
2024-03-05,159.33,119.98
2024-03-06,155.47,117.62
2024-03-07,155.69,118.62
2024-03-11,151.80,116.27
2024-03-12,146.77,113.97
2024-03-13,135.11,107.95
2024-03-14,141.83,111.67
2024-03-15,146.02,112.11
2024-03-18,144.04,111.47
2024-03-19,141.29,110.15
2024-03-20,140.18,110.20
2024-03-21,143.37,112.97
2024-03-22,144.26,113.70
2024-03-26,145.16,114.16
2024-03-27,145.43,115.26
2024-03-28,146.31,115.31
2024-04-01,151.09,119.07
2024-04-02,152.22,120.53
2024-04-03,154.10,121.93
2024-04-04,153.51,122.48
2024-04-05,153.93,123.50
2024-04-08,152.66,123.90
2024-04-09,153.20,124.23
2024-04-10,153.80,125.14
2024-04-12,153.38,124.57
2024-04-15,151.72,122.41
2024-04-16,150.11,123.33
2024-04-18,148.87,122.98
2024-04-19,148.38,122.86
2024-04-22,150.89,124.48
2024-04-23,151.85,126.01
2024-04-24,153.96,126.46
2024-04-25,155.32,127.52
2024-04-26,155.44,128.23
2024-04-29,156.85,128.51
2024-04-30,157.94,128.46
2024-05-02,158.05,128.52
2024-05-03,159.27,127.89
2024-05-06,157.58,125.98
2024-05-07,153.16,123.59
2024-05-08,153.69,124.30
2024-05-09,148.31,120.79
2024-05-10,150.62,121.63
2024-05-13,148.56,121.11
2024-05-14,151.95,123.56
2024-05-15,151.60,124.28
2024-05-16,152.78,125.32
2024-05-17,153.76,127.40
2024-05-21,151.48,127.92
2024-05-22,153.12,127.47
2024-05-23,153.41,127.71
2024-05-24,154.33,127.49
2024-05-27,154.33,128.52
2024-05-28,153.92,127.43
2024-05-29,153.82,127.51
2024-05-30,149.87,125.45
2024-05-31,149.03,126.08
2024-06-03,153.13,129.12
2024-06-04,141.54,118.50
2024-06-05,145.13,123.01
2024-06-06,149.63,127.06
2024-06-07,153.07,130.00
2024-06-10,153.45,131.96
2024-06-11,155.05,132.69
2024-06-12,156.28,134.33
2024-06-13,157.81,135.23
2024-06-14,157.96,136.25
2024-06-18,154.74,137.73
2024-06-19,153.62,137.10
2024-06-20,155.27,137.94
2024-06-21,154.74,137.70
2024-06-24,158.12,137.56
2024-06-25,160.11,137.75
2024-06-26,162.06,138.10
2024-06-27,160.03,137.17
2024-06-28,163.17,138.32
2024-07-01,165.82,140.41
2024-07-02,165.09,139.81
2024-07-03,166.97,141.18
2024-07-04,167.78,141.94
2024-07-05,168.96,143.02
2024-07-08,167.70,142.91
2024-07-09,168.19,143.27
2024-07-10,168.05,141.89
2024-07-11,167.14,142.87
2024-07-12,166.45,143.09
2024-07-15,166.94,143.84
2024-07-16,169.18,143.95
2024-07-18,170.62,142.19
2024-07-19,166.68,138.93
2024-07-22,168.81,140.18
2024-07-23,169.32,138.95
2024-07-24,175.42,141.39
2024-07-25,176.07,141.01
2024-07-26,177.51,142.37
2024-07-29,179.19,143.80
2024-07-30,182.19,145.04
2024-07-31,181.95,144.51
2024-08-01,183.35,143.10
2024-08-02,184.12,141.97
2024-08-05,177.70,135.49
2024-08-06,176.87,134.95
2024-08-07,185.16,138.82
2024-08-08,190.99,138.24
2024-08-09,201.11,139.02
2024-08-12,197.88,139.28
2024-08-13,194.06,137.46
2024-08-14,195.67,136.58
2024-08-16,196.82,139.22
2024-08-19,198.92,141.61
2024-08-20,201.58,142.27
2024-08-21,203.34,143.98
2024-08-22,203.55,144.23
2024-08-23,203.91,144.07
2024-08-26,201.24,144.47
2024-08-27,202.77,145.99
2024-08-28,200.30,145.89
2024-08-29,197.98,145.10
2024-08-30,200.66,145.79
2024-09-02,199.02,145.32
2024-09-03,200.94,145.94
2024-09-04,201.82,145.91
2024-09-05,201.73,147.41
2024-09-06,197.46,145.56
2024-09-09,197.79,144.21
2024-09-10,202.02,145.87
2024-09-11,200.36,144.70
2024-09-12,201.08,146.15
2024-09-13,202.95,147.30
2024-09-16,206.71,147.54
2024-09-17,204.56,146.99
2024-09-18,204.10,146.42
2024-09-19,201.70,144.57
2024-09-20,201.20,145.98